WORD_norm	WORD	Transcription1	PerMilFreq	zipf	Length	AvePhonLength	n_syllables	H_GPC_word	H_PGC_word	H_GPC_grapheme_word	H_PGC_grapheme_word	H_GPC_onset_word	H_PGC_onset_word	H_GPC_rime_word	H_PGC_rime_word	H_GPC_OVC_word	H_PGC_OVC_word	OUF	OUB	OU	MAXOUF	MAXOUB	MINOUF	MINOUB	PUF	PUB	PU	MAXPUF	MAXPUB	MINPUF	MINPUB	OU_PU_Mismatch	OUF_PUF_Mismatch	OUB_PUB_Mismatch	SN_k25	SN_k50	Entropy_beta5	Entropy_beta10	Dispersion_k50	Hubness_k50	ClusteringCoeff_k25
ژنو	ژنو	ʒɛnɛv	29.329252	4.467301	3	5.0	2.0	0.0	0.0	0.63334	0.467508	0.0	0.000436	1.246784	0.619267	0.921352	7.450982	0.003612	0.043594	0.047206	0.008121	0.119438	0.000345	0.000275	0.002694	0.002404	0.005098	0.00709	0.011059	0.000239	0.000239	0.042108	0.000918	0.04119	25.0	50.0	0.977598	0.879269	0.004817	57.0	0.446667
ژولای	ژولای	ʒulɑy	1.680753	3.225504	5	5.0	2.0	0.0	0.0	0.763666	0.268076	0.001754	0.00168	1.051527	0.095494	1.310255	7.389781	0.002095	0.096596	0.098691	0.008121	0.394856	2e-05	2e-05	0.001785	0.012144	0.013929	0.00709	0.03899	1.7e-05	1.7e-05	0.084761	0.00031	0.084451	25.0	50.0	0.986023	0.950568	0.004743	104.0	0.743333
لاندری	لاندری	lɑndɛry	0.826874	2.91744	6	7.0	2.0	0.0	0.0	0.319959	0.369496	0.002612	0.002206	0.294355	0.100721	0.877312	7.819975	0.012386	0.081441	0.093826	0.058995	0.394856	1e-05	1e-05	0.010054	0.005619	0.015673	0.056862	0.03899	9e-06	9e-06	0.078154	0.002332	0.075822	14.0	14.0	0.965846	0.798897	0.005966	34.0	0.196667
ره	ره	rah	127.670736	5.106091	2	10.666667	3.666667	1.584963	0.0	0.491177	0.405908	0.001799	0.251676	2.871788	1.05536	1.05835	8.040921	0.074036	0.257334	0.33137	0.141799	0.407647	0.006273	0.107022	0.036057	0.02107	0.057126	0.147505	0.102088	0.00361	0.001431	0.274244	0.03798	0.236264	20.0	20.0	0.973593	0.857528	0.005742	24.0	0.403333
واگرنه	واگرنه	vaɡarna	0.346373	2.539545	6	7.0	3.0	0.0	0.0	0.658803	0.090114	0.007008	0.003094	0.852432	0.634679	0.724255	7.961217	0.026788	0.085033	0.111821	0.11145	0.407647	5e-06	5e-06	0.021123	0.000103	0.021226	0.101134	0.000652	4e-06	4e-06	0.090595	0.005665	0.08493	25.0	50.0	0.997856	0.990463	0.000601	37.0	0.28
ولتاژی	ولتاژی	vɔltɑʒɪ	0.928442	2.967755	6	7.0	2.0	0.0	0.0	0.636436	0.278299	0.010069	0.173393	0.740054	0.660421	0.747831	8.180405	0.0212	0.066376	0.087576	0.11145	0.394856	1.1e-05	1.1e-05	0.016929	1.1e-05	0.01694	0.101134	1.7e-05	1e-05	1e-05	0.070636	0.004271	0.066365	25.0	50.0	0.989727	0.942192	0.002233	85.0	0.273333
لیروی	لیروی	lirɔy	4.363151	3.6398	5	5.0	2.0	0.0	0.0	0.718709	0.405961	0.002654	0.00168	1.080854	0.177	1.411812	7.800148	0.014089	0.091712	0.1058	0.058995	0.394856	4.8e-05	4.8e-05	0.01341	0.008264	0.021674	0.056862	0.03899	4.2e-05	4.2e-05	0.084126	0.000679	0.083447							
چاوبی	چاوبی	çɑwbe	0.636812	2.804011	5	5.0	2.0	0.0	0.0	0.760815	0.296654	0.000674	0.0	0.786809	0.214555	0.992141	7.540417	0.019304	0.087354	0.106658	0.081605	0.394856	8e-06	8e-06	0.017768	0.004598	0.022366	0.075811	0.022373	7e-06	7e-06	0.084292	0.001536	0.082756							
لورلای	لورلای	lɔrɛlɑy	3.11619	3.493624	6	7.0	3.0	0.0	0.0	0.638852	0.466466	0.002939	0.00224	1.179489	0.618245	1.218362	7.937264	0.011629	0.08041	0.092039	0.058995	0.394856	3.5e-05	3.5e-05	0.01066	0.008651	0.019312	0.056862	0.03899	3e-05	3e-05	0.072727	0.000969	0.071758							
چپگرای	چپگرای	çapɡarɑy	0.899172	2.953843	6	8.0	3.0	0.0	0.0	0.318381	0.210501	0.001342	0.001144	1.109391	0.263458	1.11991	8.037134	0.014063	0.081614	0.095678	0.081605	0.394856	1.1e-05	1.1e-05	0.013591	0.007521	0.021112	0.075811	0.03899	1e-05	1e-05	0.074565	0.000472	0.074093	25.0	50.0	0.982207	0.921049	0.004653	147.0	0.513333
یخچالها	یخچالها	yaxçɑlha	0.619262	2.791874	7	8.0	3.0	0.0	0.0	0.566547	0.342826	0.239627	0.248902	1.102453	0.849747	0.744353	8.037134	0.011747	0.036687	0.048434	0.078641	0.196007	2.2e-05	8e-06	0.010926	9.8e-05	0.011023	0.07264	0.000652	1.9e-05	7e-06	0.037411	0.000822	0.036589	25.0	50.0	0.992563	0.959932	0.00176	43.0	0.346667
لله	لله	lɛllɑh	3.959765	3.597669	3	6.0	2.0	0.0	0.0	0.337222	0.43655	0.003509	0.003359	1.160002	0.730089	1.244377	7.819975	0.019694	0.150238	0.169932	0.058995	0.407647	4.4e-05	0.002663	0.011149	0.028258	0.039407	0.056862	0.102088	3.8e-05	5.2e-05	0.130526	0.008545	0.12198	25.0	50.0	0.998972	0.995638	0.000303	35.0	0.116667
چرای	چرای	çɛrɑy	3.843618	3.58474	4	5.0	2.0	0.0	0.0	0.476039	0.50703	0.000899	0.0	1.086541	0.201248	1.209679	7.819975	0.022249	0.122373	0.144622	0.081605	0.394856	6.9e-05	4.3e-05	0.021993	0.012021	0.034013	0.075811	0.03899	3.7e-05	3.7e-05	0.110608	0.000256	0.110353	0.0	0.0	0.996878	0.985075	0.000815	0.0	0.09
چنای	چنای	çɛnɑy	1.537521	3.186821	4	5.0	2.0	0.0	0.0	0.476052	0.516907	0.0	0.000436	1.015718	0.468737	0.894122	7.819975	0.025585	0.12033	0.145914	0.081605	0.394856	3e-05	1.8e-05	0.022507	0.01198	0.034487	0.075811	0.03899	1.6e-05	1.6e-05	0.111427	0.003078	0.108349	25.0	50.0	0.98983	0.949249	0.00254	43.0	0.42
لای	لای	lɑy	36.324356	4.560198	3	3.0	1.0	0.0	0.0	0.639483	0.445888	0.003509	0.003359	0.80039	0.180014	1.082731	8.188969	0.025191	0.160753	0.185944	0.058995	0.394856	0.002267	0.004036	0.023811	0.020145	0.043956	0.056862	0.03899	0.001959	0.000671	0.141988	0.00138	0.140608	3.0	3.0	0.98673	0.908379	0.002343	11.0	0.166667
له	له	lɛh	60.17538	4.779419	2	3.0	1.0	0.0	0.0	0.498484	0.684917	0.003509	0.003359	0.839896	1.356541	1.450925	7.450982	0.030578	0.224025	0.254603	0.058995	0.407647	0.002161	0.040404	0.022431	0.038025	0.060456	0.056862	0.102088	0.000551	0.001097	0.194147	0.008147	0.186	0.0	0.0	0.997929	0.99073	0.000576	2.0	0.14
گی	گی	ɡe	5.372453	3.730173	2	2.0	1.0	0.0	0.0	0.422787	0.017538	0.002227	0.003431	0.998914	0.270378	1.386481	6.891865	0.063767	0.21579	0.279557	0.115115	0.394856	0.012419	0.036724	0.056297	0.011212	0.067509	0.112067	0.022373	0.000526	5e-05	0.212048	0.00747	0.204578	2.0	2.0	0.988581	0.941081	0.002694	10.0	0.143333
چوی	چوی	çuy	4.058349	3.608349	3	3.0	1.0	1.0	0.0	0.913214	0.587017	0.0	0.0	1.813874	0.168276	1.018606	7.381217	0.0281	0.145366	0.173466	0.081605	0.394856	0.000102	4.5e-05	0.025873	0.016075	0.041948	0.075811	0.03899	3.9e-05	3.9e-05	0.131518	0.002226	0.129291	25.0	50.0	0.996746	0.987095	0.001018	110.0	0.53
ورسای	ورسای	vɛrsɑy	5.087527	3.706507	5	6.0	2.0	0.0	0.0	0.760751	0.563079	0.009398	0.407136	1.086541	0.201248	1.141793	7.819975	0.024145	0.096013	0.120158	0.11145	0.394856	5.5e-05	5.5e-05	0.019407	0.010002	0.029409	0.101134	0.03899	4.8e-05	4.8e-05	0.090749	0.004738	0.086011	25.0	40.0	0.994548	0.975976	0.001517	25.0	0.206667
زره	زره	zɛrɛh	32.520997	4.512164	3	5.0	2.0	0.0	0.0	0.32767	0.816176	0.002124	0.67607	1.106294	0.789511	1.078129	7.450982	0.035321	0.171657	0.206978	0.102901	0.407647	0.000431	0.000302	0.028127	0.02296	0.051087	0.106584	0.102088	0.000373	0.000262	0.155891	0.007194	0.148697	21.0	21.0	0.993634	0.967309	0.001563	31.0	0.163333
فارادی	فارادی	fɑrɑde	5.115063	3.708851	6	6.0	3.0	0.0	0.0	0.494881	0.084925	0.001172	0.000351	0.568779	0.292035	1.640903	7.756601	0.023916	0.084274	0.10819	0.126929	0.394856	5.6e-05	5.6e-05	0.022483	0.004261	0.026744	0.120228	0.022373	4.8e-05	4.8e-05	0.081447	0.001434	0.080013	25.0	50.0	0.997334	0.987881	0.000729	25.0	0.226667
وی	وی	ve	1661.781927	6.220574	2	2.0	1.0	0.0	0.0	1.369662	0.18822	0.018797	0.00498	0.998914	0.270378	1.471195	6.891865	0.065805	0.218027	0.283832	0.11145	0.394856	0.02016	0.041197	0.055161	0.015574	0.070735	0.101134	0.022373	0.009188	0.008775	0.213097	0.010644	0.202452	11.0	11.0	0.986706	0.922412	0.002728	13.0	0.15
