key	freq
آ	43087.1667
آئ	18.9008
آئی	18.9008
آئین	18.9008
آئینه	2.7402
آئینها	0.2669
آئینهای	0.2669
آئینی	1.2824
آب	1217.5958
آبا	198.3641
آباد	153.9087
آبادا	8.9202
آبادان	8.9202
آبادانی	8.9202
آبادت	10.2182
آبادم	0.3293
آباده	6.7470
آبادی	23.4733
آبادیم	1.2623
آبان	43.7276
آباژ	0.7279
آباژو	0.7279
آباژور	0.7279
آبت	2.2534
آبتن	0.8991
آبتنی	0.8991
آبتو	1.3543
آبتون	0.4842
آبج	178.2707
آبجو	169.2789
آبجوت	1.0533
آبجوتو	0.2591
آبجوس	0.9397
آبجوسا	0.9397
آبجوساز	0.9397
آبجوسازی	0.9397
آبجوش	3.4108
آبجوم	0.5756
آبجوه	33.0299
آبجوها	33.0299
آبجوهاش	0.2525
آبجوهاشو	0.2525
آبجوهاشون	0.2525
آبجوهای	0.5884
آبجوی	11.3152
آبجویی	1.7689
آبجی	8.9918
آبجیت	1.0671
آبخ	0.9489
آبخو	0.9489
آبخور	0.9489
آبخوری	0.9489
آبد	22.1798
آبدا	11.9691
آبدار	10.3511
آبدارخ	0.9797
آبدارخا	0.4184
آبدارخان	0.4184
آبدارخانه	0.4184
آبدارخو	0.5613
آبدارخون	0.5613
آبدارخونه	0.5613
آبدارن	0.2603
آبداره	1.1372
آبدارچ	1.5436
آبدارچی	1.5436
آبداری	0.3353
آبدان	1.6180
آبدر	8.9852
آبدره	8.9852
آبدو	0.7563
آبدوغ	0.7563
آبدی	0.4692
آبدید	0.4692
آبدیده	0.4692
آبر	93.3712
آبرا	24.2663
آبرام	1.5276
آبرامز	1.5276
آبراه	22.7387
آبراها	17.3489
آبراهام	17.3489
آبراهه	1.2638
آبرس	5.8986
آبرسا	5.8986
آبرسان	5.8986
آبرسانی	5.8986
آبرن	1.8536
آبرنگ	1.8536
آبرو	60.4247
آبروت	2.9211
آبروتو	1.0510
آبرود	0.6406
آبرودا	0.6406
آبرودار	0.6406
آبروداری	0.6406
آبرور	4.7897
آبروری	4.7897
آبروریز	4.7897
آبروریزی	4.7897
آبروریزیه	0.7202
آبروش	2.5164
آبروشو	0.2750
آبروم	9.9012
آبرومن	5.8138
آبرومند	5.8138
آبرومندا	2.0390
آبرومندان	2.0390
آبرومندانه	2.0390
آبرومنده	0.4531
آبرومندی	0.8843
آبرومندیه	0.2759
آبرومو	1.7652
آبرومون	1.1288
آبروی	19.5582
آبرویی	4.1984
آبروییه	0.5913
آبری	0.9280
آبریز	0.9280
آبریزش	0.9280
آبز	5.2852
آبزی	5.2852
