key	freq
ن	182195.4587
ین	35556.9773
ئین	243.1298
آئین	14.8782
ه	248796.7112
نه	29533.1634
ینه	2009.0724
ئینه	20.3065
آئینه	2.4733
ی	232993.2960
ای	22696.1947
های	5892.2549
نهای	290.8182
ینهای	36.7097
ئینهای	0.2669
آئینهای	0.2669
نی	31278.8140
ینی	2553.9616
ئینی	24.9945
آئینی	1.2824
د	134168.4848
اد	19166.1444
باد	426.9010
آباد	122.2777
انی	8499.4091
دانی	588.5653
ادانی	15.3761
بادانی	8.9202
آبادانی	8.9202
ت	148509.2525
دت	4674.9691
ادت	1037.8057
بادت	38.5523
آبادت	10.2182
م	184068.8231
دم	27418.7159
ادم	1739.8438
بادم	2.2197
آبادم	0.3293
ده	51313.9840
اده	10399.7749
باده	18.2346
آباده	8.3461
دی	23042.1638
ادی	4774.8778
بادی	75.6221
آبادی	22.2110
یم	35549.7098
دیم	5561.1514
ادیم	330.2249
بادیم	1.2623
آبادیم	1.2623
ان	57860.9137
بان	3515.5216
آبان	43.7276
ر	128775.2326
ور	16953.6802
ژور	9.2734
اژور	9.2734
باژور	0.7279
آباژور	0.7279
تنی	320.2431
بتنی	44.3031
آبتنی	0.8991
و	36335.9331
تو	2390.0346
بتو	45.3477
آبتو	0.8701
ون	35681.8444
تون	5907.1688
بتون	75.5778
آبتون	0.4842
جو	754.0289
بجو	121.8834
آبجو	118.9546
وت	2021.6766
جوت	1.6775
بجوت	0.7941
آبجوت	0.7941
وتو	72.8595
جوتو	0.2591
بجوتو	0.2591
آبجوتو	0.2591
زی	9738.8274
ازی	5909.7067
سازی	569.8280
وسازی	31.2927
جوسازی	0.9397
بجوسازی	0.9397
آبجوسازی	0.9397
ش	54569.8724
وش	5851.0297
جوش	86.0784
بجوش	4.7885
آبجوش	3.4108
وم	6994.2703
جوم	50.9368
بجوم	1.4595
آبجوم	0.5756
ا	72909.2962
ها	14010.1800
وها	273.5546
جوها	45.8630
بجوها	32.1889
آبجوها	32.1889
شون	9450.0873
اشون	665.3057
هاشون	96.6575
وهاشون	13.5901
جوهاشون	0.2525
بجوهاشون	0.2525
آبجوهاشون	0.2525
وهای	612.5246
جوهای	14.0843
بجوهای	0.5884
آبجوهای	0.5884
وی	9235.2470
جوی	191.8865
بجوی	11.0474
آبجوی	9.5463
یی	11906.1013
ویی	1181.8079
جویی	244.9971
بجویی	2.4005
آبجویی	1.7689
جی	798.6402
بجی	7.9247
آبجی	7.9247
یت	9924.2765
جیت	10.0202
بجیت	1.0671
آبجیت	1.0671
ری	25424.6642
وری	4418.6359
خوری	414.2417
بخوری	169.4227
آبخوری	0.9489
ار	36802.3396
دار	3496.1588
بدار	33.7262
آبدار	6.0951
انه	5677.2062
خانه	999.6812
رخانه	98.8714
ارخانه	82.3076
دارخانه	0.4184
بدارخانه	0.4184
آبدارخانه	0.4184
ونه	9243.6064
خونه	3003.4914
رخونه	86.4005
ارخونه	57.7684
دارخونه	0.5613
بدارخونه	0.5613
آبدارخونه	0.5613
رن	3973.8484
ارن	1913.2227
دارن	1560.8062
بدارن	0.7492
آبدارن	0.2603
ره	31352.9366
اره	18302.1901
داره	8519.9113
بداره	6.3649
آبداره	1.1372
چی	724.1833
رچی	81.7316
ارچی	76.4561
دارچی	1.5436
بدارچی	1.5436
آبدارچی	1.5436
اری	10561.3570
داری	2447.4239
بداری	23.0428
آبداری	0.3353
دان	2442.4697
بدان	1.6180
آبدان	1.6180
دره	281.3890
بدره	10.6796
آبدره	8.9852
غ	2394.7979
وغ	748.0365
دوغ	7.0504
بدوغ	0.7563
آبدوغ	0.7563
یده	4776.7225
دیده	1090.8534
بدیده	0.4692
آبدیده	0.4692
ز	24284.5005
مز	782.8605
امز	78.8063
رامز	4.7644
برامز	1.5276
آبرامز	1.5276
اه	14899.9869
راه	3262.5918
براه	29.7439
آبراه	4.1260
ام	22679.8498
هام	783.0984
اهام	108.7167
راهام	61.9923
براهام	35.5921
آبراهام	17.3489
هه	994.1459
اهه	401.0672
راهه	115.0921
براهه	1.2638
آبراهه	1.2638
سانی	541.4983
رسانی	52.8782
برسانی	5.8986
آبرسانی	5.8986
گ	10259.9933
نگ	6134.2787
رنگ	537.8385
برنگ	3.1537
آبرنگ	1.8536
رو	6510.4656
برو	2379.2051
آبرو	20.0975
روت	190.1072
بروت	6.9664
آبروت	1.8700
روتو	12.1227
بروتو	1.0510
آبروتو	1.0510
وداری	4.8144
روداری	0.9748
بروداری	0.6406
آبروداری	0.6406
یزی	1487.3105
ریزی	287.4763
وریزی	4.0695
روریزی	4.0695
بروریزی	4.0695
آبروریزی	4.0695
یه	14613.0182
زیه	222.3397
یزیه	26.7728
ریزیه	5.5913
وریزیه	0.7202
روریزیه	0.7202
بروریزیه	0.7202
آبروریزیه	0.7202
روش	1309.2364
بروش	5.8974
آبروش	2.2415
شو	2575.1396
وشو	82.9661
روشو	8.5272
بروشو	0.2750
آبروشو	0.2750
روم	1107.2027
بروم	24.7660
آبروم	2.3223
ند	22149.3873
مند	667.1847
ومند	23.2211
رومند	18.3705
برومند	2.4374
آبرومند	2.4374
دانه	282.7439
ندانه	89.8508
مندانه	67.2761
ومندانه	2.2913
رومندانه	2.0390
برومندانه	2.0390
آبرومندانه	2.0390
نده	7879.1985
منده	276.0899
ومنده	18.9956
رومنده	1.2436
برومنده	0.4531
آبرومنده	0.4531
ندی	1520.3557
مندی	99.0963
ومندی	4.1805
رومندی	3.8348
برومندی	0.6084
آبرومندی	0.6084
دیه	728.0358
ندیه	31.8711
مندیه	6.6770
ومندیه	0.2759
رومندیه	0.2759
برومندیه	0.2759
آبرومندیه	0.2759
مو	2350.5206
ومو	289.8107
رومو	1.7874
برومو	0.6364
آبرومو	0.6364
مون	6350.6494
ومون	28.3521
رومون	9.3566
برومون	2.4117
آبرومون	1.1288
روی	3677.3998
بروی	66.5814
آبروی	15.3598
رویی	165.5997
برویی	7.6921
آبرویی	3.6071
ییه	261.0292
وییه	49.7994
روییه	1.8151
بروییه	0.5913
آبروییه	0.5913
زش	2039.2984
یزش	102.4920
ریزش	21.1603
بریزش	3.6938
آبریزش	0.9280
بزی	33.7938
آبزی	1.7266
یان	3851.8691
زیان	21.7914
بزیان	3.5586
آبزیان	3.5586
تن	6644.9654
ستن	2087.2347
بستن	62.5595
آبستن	3.3540
رد	22406.0226
سرد	218.5256
بسرد	0.7153
آبسرد	0.7153
سنگ	410.7706
بسنگ	0.4163
آبسنگ	0.4163
سه	5556.4455
بسه	238.2934
آبسه	1.5234
بش	725.6716
آبش	7.8415
شار	814.1610
بشار	55.9099
آبشار	40.5286
شاره	1931.5741
بشاره	0.3915
آبشاره	0.3915
رها	1666.5837
ارها	657.0402
شارها	64.1214
بشارها	1.4264
آبشارها	1.4264
رهای	1573.8699
ارهای	610.8344
شارهای	28.3052
بشارهای	11.9298
آبشارهای	11.9298
شاری	36.8760
