key	freq
ʒ	1326.4138
ʒɛ	379.5671
ʒɛn	323.0650
ʒɛnɛ	260.8348
ʒɛnɛv	29.3293
ʒu	243.6263
ʒul	23.5569
ʒulɑ	1.6808
ʒulɑy	1.6808
l	16177.5872
lɑ	2598.8753
lɑn	101.2012
lɑnd	14.6550
lɑndɛ	2.6054
lɑndɛr	0.8269
lɑndɛry	0.8269
r	56836.3876
ra	18378.8314
rah	1582.8962
rahm	433.7716
rahma	302.6437
rahmat	299.4244
rahmatɔ	255.3415
rahmatɔl	255.3415
rahmatɔll	255.3415
rahmatɔllɑ	255.3415
rahmatɔllɑh	255.3415
rahmatɔllɑhʔ	127.6707
rahmatɔllɑhʔa	127.6707
rahmatɔllɑhʔal	127.6707
rahmatɔllɑhʔala	127.6707
rahmatɔllɑhʔalay	127.6707
rahmatɔllɑhʔalayh	127.6707
v	34049.2818
va	12636.5876
vaɡ	1.2133
vaɡa	0.3464
vaɡar	0.3464
vaɡarn	0.3464
vaɡarna	0.3464
vɔ	3310.6804
vɔl	130.8986
vɔlt	66.9332
vɔltɑ	28.2081
vɔltɑʒ	27.4035
vɔltɑʒɪ	0.9284
li	1963.7385
lir	20.5837
lirɔ	4.3632
lirɔy	4.3632
ç	23354.3034
çɑ	2664.6080
çɑw	15.1951
çɑwb	0.6368
çɑwbe	0.6368
lɔ	2970.4426
lɔr	407.3209
lɔrɛ	137.8371
lɔrɛl	8.7624
lɔrɛlɑ	3.1162
lɔrɛlɑy	3.1162
ça	7460.4922
çap	376.4811
çapɡ	2.2540
çapɡa	2.2540
çapɡar	2.2540
çapɡarɑ	2.2540
çapɡarɑy	0.8992
y	22102.8279
ya	2374.5630
yax	271.6700
yaxç	55.5755
yaxçɑ	55.5755
yaxçɑl	55.5755
yaxçɑlh	1.8824
yaxçɑlha	1.8824
lɛ	1951.8546
lɛl	3.9598
lɛll	3.9598
lɛllɑ	3.9598
lɛllɑh	3.9598
çɛ	7648.6223
çɛr	285.2023
çɛrɑ	217.9837
çɛrɑy	3.8436
çɛn	819.0980
çɛnɑ	139.6533
çɛnɑy	1.5375
lɑy	305.0909
lɛh	73.8668
ɡ	39084.3329
ɡe	70.2294
çu	331.0632
çuy	4.0583
çɔ	214.6082
çɔy	4.0583
vɛ	2786.0439
vɛr	266.9597
vɛrs	8.4853
vɛrsɑ	7.0874
vɛrsɑy	5.0875
z	36512.4817
zɛ	7920.1571
zɛr	189.5276
zɛrɛ	54.3655
zɛrɛh	48.0433
f	42928.7059
fɑ	2169.8191
fɑr	629.4276
fɑrɑ	5.1151
fɑrɑd	5.1151
fɑrɑde	5.1151
ve	1792.8614
ɡa	4287.0606
ɡar	2587.9405
ɡarɑ	23.1910
ɡarɑy	7.1714
vɛrj	1.3879
vɛrji	1.3879
vɛrjin	0.5627
vɛrjini	0.5627
vɛrjiniy	0.5627
vɛrjiniya	0.5627
çɑy	138.8162
çɑr	577.5647
çɑrd	0.6116
çɑrdɔ	0.2564
çɑrdɔn	0.2564
çɑrdɔnɑ	0.2564
çɑrdɔnɑy	0.2564
fɛ	12518.0996
fɛr	2428.8850
