key	freq
v	2226.9821
ɛv	30.1954
nɛv	29.3293
ɛnɛv	29.3293
ʒɛnɛv	29.3293
y	10102.6719
ɑy	4700.6091
lɑy	91.9716
ulɑy	33.5764
ʒulɑy	1.6808
ry	20.8550
ɛry	15.4171
dɛry	0.8269
ndɛry	0.8269
ɑndɛry	0.8269
lɑndɛry	0.8269
h	34476.2214
ah	3087.1289
rah	400.5572
ɑh	16199.8333
lɑh	1381.7220
llɑh	510.7334
ɔllɑh	225.5951
tɔllɑh	127.6707
atɔllɑh	127.6707
matɔllɑh	127.6707
hmatɔllɑh	127.6707
ahmatɔllɑh	127.6707
rahmatɔllɑh	127.6707
yh	484.5537
ayh	484.5537
layh	484.5537
alayh	481.6248
ʔalayh	481.6248
hʔalayh	127.6707
ɑhʔalayh	127.6707
lɑhʔalayh	127.6707
llɑhʔalayh	127.6707
ɔllɑhʔalayh	127.6707
tɔllɑhʔalayh	127.6707
atɔllɑhʔalayh	127.6707
matɔllɑhʔalayh	127.6707
hmatɔllɑhʔalayh	127.6707
ahmatɔllɑhʔalayh	127.6707
rahmatɔllɑhʔalayh	127.6707
a	89.0963
na	1.2306
rna	1.2306
arna	1.2306
ɡarna	1.2306
aɡarna	1.2306
vaɡarna	0.3464
ɪ	1.6580
ʒɪ	0.9284
ɑʒɪ	0.9284
tɑʒɪ	0.9284
ltɑʒɪ	0.9284
ɔltɑʒɪ	0.9284
vɔltɑʒɪ	0.9284
ɔy	319.1143
rɔy	25.5327
irɔy	4.3632
lirɔy	4.3632
e	5138.3524
be	80.6556
wbe	0.6368
ɑwbe	0.6368
çɑwbe	0.6368
ɛlɑy	3.4458
rɛlɑy	3.1162
ɔrɛlɑy	3.1162
lɔrɛlɑy	3.1162
rɑy	23.8492
arɑy	8.0705
ɡarɑy	8.0705
pɡarɑy	0.8992
apɡarɑy	0.8992
çapɡarɑy	0.8992
ha	10.0118
lha	0.6193
ɑlha	0.6193
çɑlha	0.6193
xçɑlha	0.6193
axçɑlha	0.6193
yaxçɑlha	0.6193
ɛllɑh	5.5059
lɛllɑh	5.5059
ɛrɑy	11.8830
çɛrɑy	3.8436
nɑy	12.1953
ɛnɑy	1.5375
çɛnɑy	1.5375
ɛh	2187.2868
lɛh	158.9870
ɡe	5.3725
uy	3532.7122
çuy	4.0583
çɔy	4.0583
sɑy	11.8751
rsɑy	5.0875
ɛrsɑy	5.0875
vɛrsɑy	5.0875
rɛh	108.5084
ɛrɛh	108.5084
zɛrɛh	32.5210
de	494.3488
ɑde	5.1151
rɑde	5.1151
ɑrɑde	5.1151
fɑrɑde	5.1151
ve	1699.2706
ya	7.4987
iya	7.4987
niya	0.5627
iniya	0.5627
jiniya	0.5627
rjiniya	0.5627
ɛrjiniya	0.5627
vɛrjiniya	0.5627
çɑy	125.1056
ɔnɑy	0.2564
dɔnɑy	0.2564
rdɔnɑy	0.2564
ɑrdɔnɑy	0.2564
çɑrdɔnɑy	0.2564
ly	22.5631
dly	2.0375
ndly	2.0375
ɛndly	2.0375
rɛndly	2.0375
ɛrɛndly	2.0375
fɛrɛndly	2.0375
re	125.3575
dah	1051.2757
rdah	33.7776
ɑrdah	33.7776
hɑrdah	33.7776
ahɑrdah	33.7776
çahɑrdah	33.7776
ɔve	5.2243
lɔve	3.1228
ɑlɔve	3.1228
ɡɑlɔve	3.1228
pe	382.8898
ɑpe	15.0222
yɑpe	15.0222
ɛyɑpe	15.0222
pɛyɑpe	15.0222
zdah	291.8300
ɑzdah	144.9914
yɑzdah	54.4823
hy	22.0722
ahy	22.0722
vahy	10.6869
dɛh	686.7782
ʃdɛh	0.5492
ɛʃdɛh	0.5492
ʃɛʃdɛh	0.5492
nah	2.6063
ɔnah	2.6063
ɡɔnah	2.6063
fɛrɑy	8.0394
u	7667.5563
mu	408.8778
mmu	0.3649
ammu	0.3649
lammu	0.3649
alammu	0.3649
ɢalammu	0.3649
jah	21.3219
jjah	9.9541
ajjah	9.9541
vajjah	9.9541
ɔvajjah	9.9541
mɔvajjah	9.9541
ɛmɔvajjah	0.4785
rɛmɔvajjah	0.4785
erɛmɔvajjah	0.4785
ɢerɛmɔvajjah	0.4785
le	227.4713
ple	3.4778
iple	3.4778
riple	3.4778
ɔre	2.0848
mɔre	2.0848
ɑmɔre	2.0848
rɑmɔre	2.0848
ty	20.4444
ity	16.5479
sity	9.8570
isity	6.1582
lisity	6.1582
