word_norm	PerMillion	Zipf
و	45367.302	7.657
در	31429.793	7.497
به	27220.859	7.435
از	23331.739	7.368
که	17781.731	7.25
را	14453.892	7.16
این	14404.344	7.158
با	13455.818	7.129
است	12514.153	7.097
می	9791.007	6.991
برای	7606.875	6.881
های	7402.631	6.869
یک	4761.353	6.678
آن	4641.283	6.667
شده	4122.219	6.615
ها	3832.51	6.583
خود	3750.039	6.574
تا	3441.024	6.537
هم	3231.497	6.509
بر	3211.697	6.507
شد	2983.14	6.475
یا	2835.873	6.453
کرد	2832.693	6.452
ایران	2744.369	6.438
شما	2742.073	6.438
شود	2710.082	6.433
بود	2619.018	6.418
سال	2468.964	6.393
باشد	2395.355	6.379
ما	2300.729	6.362
کنید	2262.512	6.355
ای	2090.643	6.32
دارد	2071.734	6.316
باید	2029.903	6.307
من	1998.168	6.301
هر	1993.923	6.3
استفاده	1967.128	6.294
کند	1908.823	6.281
نیز	1842.508	6.265
کار	1786.117	6.252
اما	1770.462	6.248
کشور	1670.098	6.223
مورد	1661.864	6.221
قرار	1661.586	6.221
کرده	1645.839	6.216
او	1592.851	6.202
سایت	1547.782	6.19
روز	1531.849	6.185
دو	1514.499	6.18
اگر	1507.036	6.178
آنها	1500.8	6.176
رو	1482.608	6.171
گفت	1425.326	6.154
دانلود	1409.584	6.149
دیگر	1401.517	6.147
روی	1334.864	6.125
نظر	1330.151	6.124
صورت	1327.904	6.123
میشود	1318.862	6.12
یکی	1306.32	6.116
همه	1289.788	6.111
کنند	1269.342	6.104
پس	1264.259	6.102
چه	1263.207	6.101
جدید	1259.045	6.1
نام	1229.784	6.09
شرکت	1209.811	6.083
مردم	1207.46	6.082
انجام	1203.542	6.08
وجود	1192.584	6.076
اینکه	1168.036	6.067
هستند	1140.906	6.057
خواهد	1130.854	6.053
نیست	1130.131	6.053
کردن	1127.984	6.052
وی	1118.147	6.048
پیش	1111.171	6.046
بین	1101.135	6.042
دست	1095.371	6.04
داشته	1082.595	6.034
عنوان	1074.049	6.031
بعد	1040.364	6.017
اسلامی	1027.032	6.012
برنامه	1004.303	6.002
ی	993.786	5.997
گزارش	988.228	5.995
حال	966.415	5.985
بازی	962.831	5.984
بسیار	951.723	5.979
تهران	947.949	5.977
تو	943.463	5.975
بیشتر	939.467	5.973
راه	938.582	5.972
داد	919.002	5.963
داده	891.025	5.95
توسط	889.16	5.949
توجه	878.012	5.944
فیلم	877.959	5.943
نمی	868.574	5.939
زمان	862.899	5.936
شدن	861.804	5.935
ماه	852.009	5.93
ادامه	846.589	5.928
ولی	840.504	5.925
چند	839.244	5.924
دانشگاه	831.53	5.92
زندگی	831.285	5.92
بخش	829.371	5.919
افزایش	829.264	5.919
تولید	819.789	5.914
استان	817.548	5.913
بوده	817.287	5.912
دولت	807.261	5.907
دارند	806.814	5.907
شهر	805.63	5.906
سازمان	804.191	5.905
بی	794.184	5.9
رییس	788.731	5.897
آمریکا	786.237	5.896
میکند	785.672	5.895
آب	781.626	5.893
داشت	780.241	5.892
آموزش	769.612	5.886
همین	769.511	5.886
اند	764.521	5.883
سه	759.523	5.881
کنیم	750.27	5.875
همچنین	747.787	5.874
زیر	746.911	5.873
حقوق	744.475	5.872
تمام	744.328	5.872
ایجاد	740.776	5.87
هیچ	729.196	5.863
امام	712.007	5.852
قیمت	710.474	5.852
اول	704.075	5.848
بررسی	703.919	5.848
خیلی	694.725	5.842
حضور	689.375	5.838
ملی	688.788	5.838
ساعت	683.172	5.835
درباره	682.657	5.834
گروه	682.42	5.834
جهت	680.469	5.833
نه	679.182	5.832
عکس	676.747	5.83
ثبت	675.557	5.83
اجتماعی	674.595	5.829
تنها	671.155	5.827
کتاب	670.343	5.826
همراه	667.74	5.825
برخی	666.19	5.824
گرفته	664.766	5.823
هزار	663.783	5.822
بدون	657.0	5.818
وارد	656.907	5.818
امروز	656.678	5.817
اعلام	652.042	5.814
اطلاعات	651.51	5.814
دهد	641.474	5.807
طراحی	633.075	5.801
خانه	629.492	5.799
خرید	625.864	5.796
افراد	625.207	5.796
تیم	624.627	5.796
صفحه	623.045	5.795
اصلی	621.167	5.793
ارایه	620.286	5.793
مختلف	617.92	5.791
جهان	603.003	5.78
طرح	602.779	5.78
موضوع	601.958	5.78
سر	597.953	5.777
کاهش	597.506	5.776
بار	596.755	5.776
فقط	596.389	5.776
گذشته	594.911	5.774
پایان	592.993	5.773
انتخاب	591.647	5.772
دلیل	589.334	5.77
نشان	585.973	5.768
نیاز	584.762	5.767
آهنگ	578.848	5.763
حتی	578.514	5.762
بیان	577.275	5.761
بازار	576.25	5.761
هایی	568.761	5.755
اشاره	566.229	5.753
قابل	562.902	5.75
تاریخ	560.676	5.749
کردند	555.375	5.745
مدیریت	554.261	5.744
خدمات	553.412	5.743
قبل	551.887	5.742
فروش	548.273	5.739
کمک	548.06	5.739
خبر	544.799	5.736
بیش	543.938	5.736
یه	543.91	5.736
چرا	543.5	5.735
بزرگ	541.034	5.733
دارای	539.853	5.732
نفر	537.78	5.731
شوند	537.539	5.73
روش	525.654	5.721
ایرانی	523.175	5.719
ارسال	521.713	5.717
نسبت	520.542	5.716
درصد	518.23	5.715
بهترین	518.013	5.714
باز	517.937	5.714
ترین	517.225	5.714
وقتی	516.408	5.713
باعث	516.263	5.713
ندارد	515.61	5.712
چون	512.048	5.709
سیستم	511.312	5.709
کنم	510.066	5.708
منطقه	509.219	5.707
اقتصادی	506.317	5.704
میان	504.067	5.702
زمینه	500.988	5.7
شرایط	499.716	5.699
شبکه	498.982	5.698
باشند	498.323	5.698
جامعه	496.013	5.695
توسعه	493.416	5.693
دریافت	493.407	5.693
مهم	491.559	5.692
آیا	491.282	5.691
پیدا	489.87	5.69
دوره	487.286	5.688
کسی	486.005	5.687
البته	485.228	5.686
بالا	483.001	5.684
دوم	481.887	5.683
نامه	481.395	5.683
خوب	475.445	5.677
مانند	474.282	5.676
باشید	473.47	5.675
مواد	472.406	5.674
زبان	471.856	5.674
زیادی	471.786	5.674
کامل	471.651	5.674
شورای	471.42	5.673
مصرف	471.197	5.673
پاسخ	470.338	5.672
تغییر	469.681	5.672
میکنند	468.799	5.671
کم	467.201	5.67
مجلس	465.741	5.668
انقلاب	465.425	5.668
نرم	465.344	5.668
سیاسی	464.196	5.667
غیر	462.97	5.666
جمهوری	462.374	5.665
جهانی	461.114	5.664
عمومی	460.363	5.663
ممکن	460.156	5.663
دستگاه	457.17	5.66
کننده	456.665	5.66
سازی	455.084	5.658
نوع	454.511	5.658
طریق	453.854	5.657
اولین	453.649	5.657
علی	452.104	5.655
علیه	449.335	5.653
بسیاری	447.471	5.651
هفته	444.878	5.648
ویژه	442.215	5.646
سنگ	442.154	5.646
تر	441.836	5.645
بودن	439.232	5.643
قانون	437.781	5.641
هست	436.167	5.64
برگزار	434.281	5.638
خدا	432.949	5.636
یعنی	431.703	5.635
ساخت	429.21	5.633
لازم	427.007	5.63
کیفیت	426.164	5.63
میلیون	422.781	5.626
منتشر	422.64	5.626
وزارت	421.806	5.625
همان	421.803	5.625
گفته	421.726	5.625
آغاز	420.945	5.624
حوزه	419.506	5.623
مرکز	418.824	5.622
بودند	418.371	5.622
فعالیت	418.324	5.622
دوست	417.851	5.621
فایل	417.268	5.62
طور	416.586	5.62
قسمت	415.199	5.618
توان	413.576	5.617
فرهنگی	412.192	5.615
نمایش	412.094	5.615
وزیر	409.969	5.613
جمله	408.407	5.611
کسب	407.08	5.61
الله	406.823	5.609
معرفی	406.704	5.609
مناسب	403.156	5.605
عمل	402.952	5.605
فکر	402.78	5.605
رنگ	401.893	5.604
نقش	401.552	5.604
تواند	400.869	5.603
اساس	400.161	5.602
دیگری	397.775	5.6
آزاد	396.891	5.599
امکان	395.67	5.597
چنین	394.399	5.596
پرداخت	393.71	5.595
خانواده	392.084	5.593
گرفت	391.807	5.593
جای	391.117	5.592
مثل	390.529	5.592
سوی	390.341	5.591
دنبال	390.028	5.591
درمان	389.547	5.591
میزان	388.534	5.589
مطالب	388.076	5.589
دنیا	388.046	5.589
مطلب	387.894	5.589
تمامی	387.842	5.589
علمی	385.789	5.586
نقل	385.062	5.586
علوم	385.014	5.585
مشکلات	384.037	5.584
